Solution name,Time(s),Gap(%),Objective value,Deletions,PROBUT_module,IBUT_module,BUT_module,ETHBUT_module,ETH_module,BUTBUT_module,IBUTBUT_module,IPRO_module,IPROBUT_module,PRO_module
incumbent,9.43,0.01,-0.57280175301392933,"['FC1r', 'GLB2', 'PPP3', 'TCA5', 'TRA1', 'TRA2', 'TRA4']",['GLB2'],"['PPP3', 'TRA1', 'FEM5']",['GLB2'],"['TRA2', 'FEM5']","['GLB2', 'TRA1', 'FEM5']",['TRA2'],"['PPP3', 'TRA1', 'FEM5']","['PPP3', 'TRA1']","['PPP3', 'TRA1']","['FC1r', 'TCA5']"
p2,,,-0.57280175301392933,"['FC1r', 'GLB2', 'PPP3', 'TCA5', 'TRA1', 'TRA2', 'TRA4']",['GLB2'],"['PPP3', 'TRA1', 'FEM5']",['GLB2'],"['TRA2', 'FEM5']","['GLB2', 'TRA1', 'FEM5']",['TRA2'],"['PPP3', 'TRA1', 'FEM5']","['PPP3', 'TRA1']","['PPP3', 'TRA1']","['FC1r', 'TCA5']"
