Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUTBUT_module,PROBUT_module,BUTBUT_module,ETH_module,IPRO_module,PRO_module,IBUT_module,BUT_module,IPROBUT_module
incumbent,5.33,0.00,-27.340350747615702,"['TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA2', 'FEM5']","['TRA1', 'FEM5']",['TRA5'],['TRA2'],"['TRA1', 'TRA5', 'FEM5']",['TRA1'],['TRA5'],"['TRA1', 'FEM5']",['TRA5'],['TRA1']
p2,,,-27.340350747615702,"['TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA2', 'FEM5']","['TRA1', 'FEM5']",['TRA5'],['TRA2'],"['TRA1', 'TRA5', 'FEM5']",['TRA1'],['TRA5'],"['TRA1', 'FEM5']",['TRA5'],['TRA1']
