Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETH_module,ETHBUT_module,IBUTBUT_module
incumbent,1.36,0.00,-60.02894369788077,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-60.02894369788077,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
