Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETH_module,ETHBUT_module,IBUTBUT_module
incumbent,0.44,0.00,-5.5,['FEM3'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-5.5,['FEM3'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
