Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,PROBUT_module,IPRO_module,PRO_module,ETH_module,BUTBUT_module,IBUTBUT_module,IPROBUT_module,IBUT_module,BUT_module
incumbent,148.95,0.01,-5.0771870343035204,"['FC1r', 'GLB2', 'OPM3', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['FC1r', 'TRA2', 'FEM5']","['FC1r', 'GLB2']",['TRA1'],"['FC1r', 'TCA5']","['GLB2', 'TRA1', 'FEM5']","['FC1r', 'TRA2']","['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']",['GLB2']
p2,,,-5.0771870343035204,"['FC1r', 'GLB2', 'OPM3', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['FC1r', 'TRA2', 'FEM5']","['FC1r', 'GLB2']",['TRA1'],"['FC1r', 'TCA5']","['GLB2', 'TRA1', 'FEM5']","['FC1r', 'TRA2']","['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']",['GLB2']
