Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IBUTBUT_module,ETHBUT_module,BUTBUT_module,IPRO_module,BUT_module,IBUT_module,PROBUT_module,PRO_module,ETH_module
incumbent,353.42,0.00,0,"['FEM7', 'GG11', 'GLB2', 'OPM4r', 'PPP6r', 'TRA1', 'TRA4', 'TRA5']","['OPM4r', 'TRA1']","['OPM4r', 'TRA1', 'FEM5']","['GG11', 'TRA4', 'FEM5']","['GG11', 'OPM4r']","['OPM4r', 'TRA1']","['GG11', 'OPM4r']","['TRA1', 'TRA4', 'FEM5']","['OPM4r', 'PPP6r']","['OPM4r', 'PPP6r']","['OPM4r', 'TRA1', 'FEM5']"
p2,,,0,"['FEM7', 'GG11', 'GLB2', 'OPM4r', 'PPP6r', 'TRA1', 'TRA4', 'TRA5']","['OPM4r', 'TRA1']","['OPM4r', 'TRA1', 'FEM5']","['GG11', 'TRA4', 'FEM5']","['GG11', 'OPM4r']","['OPM4r', 'TRA1']","['GG11', 'OPM4r']","['TRA1', 'TRA4', 'FEM5']","['OPM4r', 'PPP6r']","['OPM4r', 'PPP6r']","['OPM4r', 'TRA1', 'FEM5']"
