Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUTBUT_module,ETHBUT_module,IBUT_module
incumbent,0.62,0.00,-4.1535918800950267,"['GG11', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-4.1535918800950267,"['GG11', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
