Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,BUT_module,BUTBUT_module,PRO_module,ETHBUT_module,IPRO_module,IBUTBUT_module,PROBUT_module,ETH_module,IBUT_module
incumbent,167.23,0.01,-5.1251637159788759,"['FC1r', 'GG4', 'GLB2', 'TCA5', 'TRA1', 'TRA2', 'TRA4']",['TRA1'],"['GLB2', 'TCA5']","['FC1r', 'TRA2']","['FC1r', 'TCA5']","['FC1r', 'TRA2', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['FC1r', 'GLB2']","['GLB2', 'TRA1', 'FEM5']","['TRA1', 'FEM5']"
p2,,,-5.1251637159788759,"['FC1r', 'GG4', 'GLB2', 'TCA5', 'TRA1', 'TRA2', 'TRA4']",['TRA1'],"['GLB2', 'TCA5']","['FC1r', 'TRA2']","['FC1r', 'TCA5']","['FC1r', 'TRA2', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['FC1r', 'GLB2']","['GLB2', 'TRA1', 'FEM5']","['TRA1', 'FEM5']"
