Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,ETH_module,IBUTBUT_module,IBUT_module
incumbent,0.31,0.00,-5.4000000000000004,"['TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-5.4000000000000004,"['TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
