Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IBUTBUT_module,ETH_module,ETHBUT_module
incumbent,3.35,0.00,-39.774320855276663,"['ANA2', 'ANA3', 'FC1r', 'FEM3', 'GG12', 'OPM3', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-39.774320855276663,"['ANA2', 'ANA3', 'FC1r', 'FEM3', 'GG12', 'OPM3', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
