Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETHBUT_module,IBUT_module,ETH_module
incumbent,1.19,0.00,-3.2372488901740231,"['FEM3', 'PPP8r', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.2372488901740231,"['FEM3', 'PPP8r', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
