Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUTBUT_module,ETHBUT_module,IBUT_module
incumbent,0.25,0.00,-5.5,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-5.5,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
