Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,PROBUT_module,ETHBUT_module,IPRO_module,BUTBUT_module,IBUTBUT_module,ETH_module,PRO_module,BUT_module,IBUT_module
incumbent,7.28,0.01,-0.57280175306984626,"['FC1r', 'GLB2', 'PPP3', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['PPP3', 'TRA1']",['GLB2'],"['TRA2', 'FEM5']","['PPP3', 'TRA1']",['TRA2'],"['PPP3', 'TRA1', 'FEM5']","['GLB2', 'TRA1', 'FEM5']","['FC1r', 'TCA5']",['GLB2'],"['PPP3', 'TRA1', 'FEM5']"
p2,,,-0.57280175306984626,"['FC1r', 'GLB2', 'PPP3', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['PPP3', 'TRA1']",['GLB2'],"['TRA2', 'FEM5']","['PPP3', 'TRA1']",['TRA2'],"['PPP3', 'TRA1', 'FEM5']","['GLB2', 'TRA1', 'FEM5']","['FC1r', 'TCA5']",['GLB2'],"['PPP3', 'TRA1', 'FEM5']"
