Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUTBUT_module,IBUT_module,ETHBUT_module
incumbent,0.38,0.00,-5.5,['FEM3'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-5.5,['FEM3'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
