Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IPRO_module,ETH_module,BUT_module,IBUTBUT_module,IPROBUT_module,ETHBUT_module,PRO_module,PROBUT_module
incumbent,3.26,0.01,-2.2317922119760181,"['TRA1', 'TRA2']","['TRA1', 'TRA2', 'FEM5']",['TRA1'],"['TRA1', 'TRA2', 'FEM5']",['TRA2'],"['TRA1', 'TRA2', 'FEM5']",['TRA1'],['FEM5'],['TRA2'],['TRA2']
p2,,,-2.2317922119760181,"['TRA1', 'TRA2']","['TRA1', 'TRA2', 'FEM5']",['TRA1'],"['TRA1', 'TRA2', 'FEM5']",['TRA2'],"['TRA1', 'TRA2', 'FEM5']",['TRA1'],['FEM5'],['TRA2'],['TRA2']
