Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,ETH_module,IBUTBUT_module,IBUT_module
incumbent,1.40,0.00,-60.02894369788077,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-60.02894369788077,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
