Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,PROBUT_module,PRO_module,IBUTBUT_module,IPRO_module,ETH_module,ETHBUT_module,BUTBUT_module,IPROBUT_module,BUT_module
incumbent,254.95,0.01,-0.57280175302859349,"['FC1r', 'GG11', 'GG12', 'GLB2', 'OPM3', 'PPP1', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['PPP1', 'TRA1', 'FEM5']",['GLB2'],"['FC1r', 'TCA5']","['PPP1', 'TRA1', 'FEM5']","['PPP1', 'TRA1']","['GLB2', 'TRA1', 'FEM5']","['TRA2', 'FEM5']",['TRA2'],"['PPP1', 'TRA1']",['GLB2']
p2,,,-0.57280175302859349,"['FC1r', 'GG11', 'GG12', 'GLB2', 'OPM3', 'PPP1', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['PPP1', 'TRA1', 'FEM5']",['GLB2'],"['FC1r', 'TCA5']","['PPP1', 'TRA1', 'FEM5']","['PPP1', 'TRA1']","['GLB2', 'TRA1', 'FEM5']","['TRA2', 'FEM5']",['TRA2'],"['PPP1', 'TRA1']",['GLB2']
