Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IBUTBUT_module,ETH_module,ETHBUT_module
incumbent,0.76,0.00,-3.7228017530698461,"['ANA3', 'FC1r', 'GG11', 'GG12', 'GLB2', 'OPM3', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.7228017530698461,"['ANA3', 'FC1r', 'GG11', 'GG12', 'GLB2', 'OPM3', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
