Solution name,Time(s),Gap(%),Objective value,Deletions,BUT_module,BUTBUT_module,IPROBUT_module,PRO_module,IBUTBUT_module,ETHBUT_module,IBUT_module,IPRO_module,PROBUT_module,ETH_module
incumbent,32.69,0.01,-0.57280175306983749,"['ANA2', 'FC1r', 'GLB2', 'PPP3', 'TCA5', 'TRA1', 'TRA2', 'TRA4']",['GLB2'],['TRA2'],"['PPP3', 'TRA1']","['FC1r', 'TCA5']","['PPP3', 'TRA1', 'FEM5']","['TRA2', 'FEM5']","['PPP3', 'TRA1', 'FEM5']","['PPP3', 'TRA1']",['GLB2'],"['GLB2', 'TRA1', 'FEM5']"
p2,,,-0.57280175306983749,"['ANA2', 'FC1r', 'GLB2', 'PPP3', 'TCA5', 'TRA1', 'TRA2', 'TRA4']",['GLB2'],['TRA2'],"['PPP3', 'TRA1']","['FC1r', 'TCA5']","['PPP3', 'TRA1', 'FEM5']","['TRA2', 'FEM5']","['PPP3', 'TRA1', 'FEM5']","['PPP3', 'TRA1']",['GLB2'],"['GLB2', 'TRA1', 'FEM5']"
