Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUT_module,ETH_module,IBUTBUT_module,IPRO_module,IPROBUT_module,BUTBUT_module
incumbent,2.32,0.00,-28.791574000311993,"['TRA1', 'TRA2', 'TRA4']","['TRA2', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['TRA1'],['TRA2']
p2,,,-28.791574000311993,"['TRA1', 'TRA2', 'TRA4']","['TRA2', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['TRA1'],['TRA2']
