Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,ETH_module,IBUT_module,IBUTBUT_module
incumbent,1.40,0.00,-3.237248889525274,"['FEM3', 'OPM4r', 'PPP8r', 'TCA5', 'TCA9r', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.237248889525274,"['FEM3', 'OPM4r', 'PPP8r', 'TCA5', 'TCA9r', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
