Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,IBUTBUT_module,ETH_module,ETHBUT_module
incumbent,1.17,0.00,-60.028943697881147,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-60.028943697881147,['TRA4'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
