Solution name,Time(s),Gap(%),Objective value,Deletions,BUT_module,PRO_module,BUTBUT_module,IBUT_module,IPROBUT_module,ETHBUT_module,IBUTBUT_module,IPRO_module,ETH_module,PROBUT_module
incumbent,500.04,85.20,-5.8592292894581028,"['ANA3', 'FC1r', 'GG11', 'GLB2', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['GLB2', 'TCA5']","['FC1r', 'TCA5']","['GG11', 'TRA2']","['TRA1', 'FEM5']",['TRA1'],"['FC1r', 'TRA2', 'FEM5']","['TRA1', 'FEM5']","['GG11', 'TRA1']","['GLB2', 'TRA1', 'FEM5']","['GLB2', 'TCA5']"
p2,,,-5.8592292894581028,"['ANA3', 'FC1r', 'GG11', 'GLB2', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['GLB2', 'TCA5']","['FC1r', 'TCA5']","['GG11', 'TRA2']","['TRA1', 'FEM5']",['TRA1'],"['FC1r', 'TRA2', 'FEM5']","['TRA1', 'FEM5']","['GG11', 'TRA1']","['GLB2', 'TRA1', 'FEM5']","['GLB2', 'TCA5']"
