Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETHBUT_module,IBUTBUT_module,ETH_module
incumbent,1.15,0.00,-3.2372488901738712,"['PPP8r', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.2372488901738712,"['PPP8r', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
