Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETH_module,ETHBUT_module,IBUT_module
incumbent,1.71,0.00,-3.2372488901719239,"['ANA2', 'FEM2', 'OPM3', 'PPP8r', 'TCA9r', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.2372488901719239,"['ANA2', 'FEM2', 'OPM3', 'PPP8r', 'TCA9r', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
