Solution name,Time(s),Gap(%),Objective value,Deletions,BUTBUT_module,PRO_module,IPROBUT_module,ETH_module,IBUTBUT_module,ETHBUT_module,PROBUT_module,IBUT_module,IPRO_module,BUT_module
incumbent,5.13,0.00,-1.0728017529655991,"['ANA2', 'ANA3', 'FC1r', 'GG4', 'OPM3', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']",['TRA2'],['TCA9r'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA2', 'FEM5']",['ANA2'],"['TRA1', 'FEM5']",['TRA1'],['TCA9r']
p2,,,-1.0728017529655991,"['ANA2', 'ANA3', 'FC1r', 'GG4', 'OPM3', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']",['TRA2'],['TCA9r'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA2', 'FEM5']",['ANA2'],"['TRA1', 'FEM5']",['TRA1'],['TCA9r']
