Solution name,Time(s),Gap(%),Objective value,Deletions,PROBUT_module,IPRO_module,IPROBUT_module,ETH_module,IBUT_module,BUTBUT_module,PRO_module,ETHBUT_module,BUT_module,IBUTBUT_module
incumbent,19.42,0.01,-5.1795160473794866,"['FC1r', 'GLB2', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['FC1r', 'GLB2']",['TRA1'],['TRA1'],"['GLB2', 'TRA1', 'FEM5']","['TRA1', 'FEM5']","['FC1r', 'TRA2']","['FC1r', 'TCA5']","['FC1r', 'TRA2', 'FEM5']","['GLB2', 'TCA5']","['TRA1', 'FEM5']"
p2,,,-5.1795160473794866,"['FC1r', 'GLB2', 'TCA5', 'TRA1', 'TRA2', 'TRA4']","['FC1r', 'GLB2']",['TRA1'],['TRA1'],"['GLB2', 'TRA1', 'FEM5']","['TRA1', 'FEM5']","['FC1r', 'TRA2']","['FC1r', 'TCA5']","['FC1r', 'TRA2', 'FEM5']","['GLB2', 'TCA5']","['TRA1', 'FEM5']"
