Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUT_module,IBUTBUT_module,ETH_module
incumbent,1.59,0.00,-3.2372488865829183,"['FEM3', 'GLB2', 'PPP8r', 'TCA5', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-3.2372488865829183,"['FEM3', 'GLB2', 'PPP8r', 'TCA5', 'TRA2']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
