Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUT_module,ETHBUT_module,IBUTBUT_module
incumbent,0.42,0.00,-4.892957338079297,['TRA2'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-4.892957338079297,['TRA2'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
