Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,BUTBUT_module,ETH_module,BUT_module,IPRO_module,PRO_module,IBUTBUT_module,ETHBUT_module,IBUT_module,PROBUT_module
incumbent,16.62,0.00,-0.36462690528696895,"['PPP8r', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']",['TRA1'],['TRA4'],"['TRA1', 'FEM5']",['TRA4'],['TRA1'],['PPP8r'],"['TRA1', 'FEM5']","['TRA2', 'FEM5']","['TRA1', 'FEM5']",['TCA5']
p2,,,-0.36462690528696895,"['PPP8r', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']",['TRA1'],['TRA4'],"['TRA1', 'FEM5']",['TRA4'],['TRA1'],['PPP8r'],"['TRA1', 'FEM5']","['TRA2', 'FEM5']","['TRA1', 'FEM5']",['TCA5']
