Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUTBUT_module,IBUT_module,ETH_module
incumbent,1.65,0.00,-57.451982345611597,"['GG11', 'TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-57.451982345611597,"['GG11', 'TRA2', 'TRA4']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
