Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IBUTBUT_module,IPRO_module,IBUT_module,ETH_module,BUTBUT_module,BUT_module,PRO_module,PROBUT_module,ETHBUT_module
incumbent,5.11,0.00,-10.682810204821642,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA2'],['TRA5'],['TRA5'],['TRA5'],"['TRA2', 'FEM5']"
p2,,,-10.682810204821642,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA2'],['TRA5'],['TRA5'],['TRA5'],"['TRA2', 'FEM5']"
