Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUTBUT_module,IBUT_module,ETHBUT_module
incumbent,3.01,0.00,-39.774320854982527,"['ANA3', 'FC1r', 'FEM3', 'GG12', 'GG4', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,-39.774320854982527,"['ANA3', 'FC1r', 'FEM3', 'GG12', 'GG4', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
