Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,BUTBUT_module,BUT_module,IPRO_module,IPROBUT_module,PROBUT_module,ETH_module,PRO_module,ETHBUT_module,IBUTBUT_module
incumbent,5.61,0.00,-11.153716170888941,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA2'],['TRA5'],['TRA1'],['TRA1'],['TRA2'],"['TRA1', 'FEM5']",['TRA5'],"['TRA2', 'FEM5']","['TRA1', 'FEM5']"
p2,,,-11.153716170888941,"['FC1r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA2'],['TRA5'],['TRA1'],['TRA1'],['TRA2'],"['TRA1', 'FEM5']",['TRA5'],"['TRA2', 'FEM5']","['TRA1', 'FEM5']"
