Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETHBUT_module,BUT_module,BUTBUT_module,PRO_module,IPRO_module,PROBUT_module,IBUTBUT_module,IPROBUT_module,ETH_module
incumbent,34.78,0.01,-10.555153560159923,"['ANA2', 'FC1r', 'GG12', 'GG4', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']","['TRA1', 'FEM5']","['TRA2', 'FEM5']",['TCA9r'],['TRA2'],['ANA2'],['TRA1'],['TCA9r'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']"
p2,,,-10.555153560159923,"['ANA2', 'FC1r', 'GG12', 'GG4', 'TCA5', 'TCA9r', 'TRA1', 'TRA2', 'TRA4']","['TRA1', 'FEM5']","['TRA2', 'FEM5']",['TCA9r'],['TRA2'],['ANA2'],['TRA1'],['TCA9r'],"['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']"
