Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,ETH_module,BUT_module,IPRO_module,PRO_module,PROBUT_module,IBUT_module,IBUTBUT_module,BUTBUT_module,ETHBUT_module
incumbent,19.46,0.00,-0.38814526073946609,"['PPP4r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']",['TRA4'],['TRA1'],['TRA5'],['TRA5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],"['TRA4', 'FEM5']"
p2,,,-0.38814526073946609,"['PPP4r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']",['TRA4'],['TRA1'],['TRA5'],['TRA5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],"['TRA4', 'FEM5']"
