Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IBUTBUT_module,ETH_module,IBUT_module,IPRO_module,ETHBUT_module
incumbent,0.56,0.00,-2.7138888884898007,"['TRA1', 'TRA4']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['TRA1'],['FEM5']
p2,,,-2.7138888884898007,"['TRA1', 'TRA4']",['TRA1'],['FEM5'],"['TRA1', 'FEM5']",['FEM5'],['TRA1'],['FEM5']
