Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUTBUT_module,IBUT_module,IPROBUT_module,BUTBUT_module,IPRO_module,ETH_module
incumbent,0.77,0.00,-2.3499999999999943,"['TRA1', 'TRA2', 'TRA4']","['TRA2', 'FEM5']",['FEM5'],['FEM5'],['TRA1'],['TRA2'],['TRA1'],"['TRA1', 'FEM5']"
p2,,,-2.3499999999999943,"['TRA1', 'TRA2', 'TRA4']","['TRA2', 'FEM5']",['FEM5'],['FEM5'],['TRA1'],['TRA2'],['TRA1'],"['TRA1', 'FEM5']"
