Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,ETHBUT_module,ETH_module,IPRO_module,BUTBUT_module,IBUT_module,IBUTBUT_module
incumbent,2.16,0.00,-28.466301686542515,"['TRA1', 'TRA2', 'TRA4']",['TRA1'],"['TRA2', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['TRA2'],"['TRA1', 'TRA2', 'FEM5']","['TRA1', 'TRA2', 'FEM5']"
p2,,,-28.466301686542515,"['TRA1', 'TRA2', 'TRA4']",['TRA1'],"['TRA2', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['TRA2'],"['TRA1', 'TRA2', 'FEM5']","['TRA1', 'TRA2', 'FEM5']"
