Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,PROBUT_module,BUTBUT_module,IPROBUT_module,BUT_module,IBUTBUT_module,IPRO_module,ETHBUT_module,IBUT_module,PRO_module
incumbent,500.04,100.00,-0.02162759621299426,"['FEM7', 'GG11', 'PPP8r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'TRA2', 'FEM5']","['TRA2', 'TRA5']","['TRA1', 'TRA2']","['TRA1', 'TRA4']","['GG11', 'TRA1']","['TRA1', 'TRA2', 'FEM5']",['TRA1'],"['PPP8r', 'TRA4', 'FEM5']","['TRA1', 'TRA4', 'FEM5']","['PPP8r', 'TRA2']"
p2,,,-0.02162759621299426,"['FEM7', 'GG11', 'PPP8r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'TRA2', 'FEM5']","['TRA2', 'TRA5']","['TRA1', 'TRA2']","['TRA1', 'TRA4']","['GG11', 'TRA1']","['TRA1', 'TRA2', 'FEM5']",['TRA1'],"['PPP8r', 'TRA4', 'FEM5']","['TRA1', 'TRA4', 'FEM5']","['PPP8r', 'TRA2']"
