Solution name,Time(s),Gap(%),Objective value,Deletions,PROBUT_module,IBUT_module,BUT_module,PRO_module,IPRO_module,IBUTBUT_module,ETHBUT_module,ETH_module,IPROBUT_module,BUTBUT_module
incumbent,5.14,0.00,-1.0728017530485208,"['FC1r', 'GG11', 'GG4', 'OPM3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA5'],"['TRA1', 'FEM5']",['TRA5'],['TRA5'],['TRA1'],"['TRA1', 'FEM5']","['TRA2', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['TRA2']
p2,,,-1.0728017530485208,"['FC1r', 'GG11', 'GG4', 'OPM3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA5'],"['TRA1', 'FEM5']",['TRA5'],['TRA5'],['TRA1'],"['TRA1', 'FEM5']","['TRA2', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['TRA2']
