Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,ETH_module,IBUT_module,ETHBUT_module
incumbent,0.41,0.00,5,"['ANA3', 'FEM2', 'GG11', 'GG12', 'PPP8r', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,5,"['ANA3', 'FEM2', 'GG11', 'GG12', 'PPP8r', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
