Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUTBUT_module,IBUT_module,PROBUT_module,IPROBUT_module,PRO_module,ETH_module,IPRO_module
incumbent,0.84,0.00,9.4880952381401489,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['PPP3'],['TRA1'],['PPP3'],"['TRA1', 'FEM5']",['TRA1']
p2,,,9.4880952381401489,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['PPP3'],['TRA1'],['PPP3'],"['TRA1', 'FEM5']",['TRA1']
