Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,IPROBUT_module,ETHBUT_module,IBUT_module,IBUTBUT_module,PROBUT_module,ETH_module,PRO_module
incumbent,4.49,0.00,102.1453890640996,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['TRA1'],['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']",['PPP3']
p2,,,102.1453890640996,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['TRA1'],['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']",['PPP3']
