Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,BUT_module,IPROBUT_module,PROBUT_module,IBUTBUT_module,IBUT_module,ETH_module,ETHBUT_module,PRO_module,BUTBUT_module
incumbent,45.64,0.01,108.36924579579102,"['FEM3', 'GG11', 'GG12', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']",['TRA6'],"['TRA1', 'TRA6']","['FEM3', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']","['FEM3', 'PPP3']",['TRA6']
p2,,,108.36924579579102,"['FEM3', 'GG11', 'GG12', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']",['TRA6'],"['TRA1', 'TRA6']","['FEM3', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']","['FEM3', 'PPP3']",['TRA6']
