Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,IPROBUT_module,ETHBUT_module,PRO_module,IBUT_module,PROBUT_module,IBUTBUT_module,ETH_module
incumbent,6.33,0.01,106.31205573076622,"['FEM2', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['TRA1'],['FEM5'],['PPP1'],"['TRA1', 'FEM5']",['PPP1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
p2,,,106.31205573076622,"['FEM2', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['TRA1'],['FEM5'],['PPP1'],"['TRA1', 'FEM5']",['PPP1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']"
