Solution name,Time(s),Gap(%),Objective value,Deletions,PROBUT_module,PRO_module,IPRO_module,IBUTBUT_module,ETH_module,ETHBUT_module,IPROBUT_module,IBUT_module
incumbent,2.66,0.00,102.1453890640996,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP3'],['PPP3'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']"
p2,,,102.1453890640996,"['PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP3'],['PPP3'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']"
