Solution name,Time(s),Gap(%),Objective value,Deletions,PRO_module,PROBUT_module,ETHBUT_module,IPRO_module,IBUT_module,IBUTBUT_module,ETH_module,IPROBUT_module
incumbent,17.78,0.01,8.2774224055801842,"['GG11', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP1'],['PPP1'],['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
p2,,,8.2774224055801842,"['GG11', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP1'],['PPP1'],['FEM5'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
