Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUTBUT_module,ETHBUT_module,IPRO_module,IPROBUT_module,IBUT_module
incumbent,0.48,0.00,5.319444444879208,"['TRA1', 'TRA4']","['TRA1', 'FEM5']",['FEM5'],['FEM5'],['TRA1'],['TRA1'],['FEM5']
p2,,,5.319444444879208,"['TRA1', 'TRA4']","['TRA1', 'FEM5']",['FEM5'],['FEM5'],['TRA1'],['TRA1'],['FEM5']
