Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,IPROBUT_module,ETH_module,IBUT_module,IPRO_module,ETHBUT_module
incumbent,56.89,0.01,7.2644366831472222,"['TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['FEM5']
p2,,,7.2644366831472222,"['TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']",['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1'],['FEM5']
