Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETH_module,IBUTBUT_module,ETHBUT_module
incumbent,1.32,0.00,4.1026974485312415,"['ANA3', 'FEM3', 'GG11', 'GG4', 'OPM3', 'PPP3', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,4.1026974485312415,"['ANA3', 'FEM3', 'GG11', 'GG4', 'OPM3', 'PPP3', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
