Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUTBUT_module,ETH_module,IPROBUT_module,BUTBUT_module,IPRO_module,PROBUT_module,IBUT_module,PRO_module
incumbent,0.93,0.00,10,"['FEM2', 'FEM3', 'GLB2', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA6', 'FEM5']","['TRA6', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'TRA6']",['TRA6'],"['TRA1', 'TRA6']","['FEM3', 'PPP3']",['FEM5'],"['FEM3', 'PPP3']"
p2,,,10,"['FEM2', 'FEM3', 'GLB2', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA6', 'FEM5']","['TRA6', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'TRA6']",['TRA6'],"['TRA1', 'TRA6']","['FEM3', 'PPP3']",['FEM5'],"['FEM3', 'PPP3']"
