Solution name,Time(s),Gap(%),Objective value,Deletions,IBUTBUT_module,IPROBUT_module,IBUT_module,PROBUT_module,ETH_module,ETHBUT_module,PRO_module,BUTBUT_module,IPRO_module
incumbent,1.31,0.00,10,"['FEM3', 'OPM4r', 'PPP4r', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA6', 'FEM5']","['TRA1', 'TRA6']",['FEM5'],"['FEM3', 'PPP4r']","['TRA1', 'FEM5']","['TRA6', 'FEM5']","['FEM3', 'PPP4r']",['TRA6'],"['TRA1', 'TRA6']"
p2,,,10,"['FEM3', 'OPM4r', 'PPP4r', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA6', 'FEM5']","['TRA1', 'TRA6']",['FEM5'],"['FEM3', 'PPP4r']","['TRA1', 'FEM5']","['TRA6', 'FEM5']","['FEM3', 'PPP4r']",['TRA6'],"['TRA1', 'TRA6']"
