Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IPROBUT_module,IBUT_module,PROBUT_module,IPRO_module,IBUTBUT_module,PRO_module,ETH_module
incumbent,20.24,0.01,8.2774224054077568,"['ANA3', 'GG11', 'GLB2', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']",['PPP3'],['TRA1'],"['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']"
p2,,,8.2774224054077568,"['ANA3', 'GG11', 'GLB2', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['TRA1'],"['TRA1', 'FEM5']",['PPP3'],['TRA1'],"['TRA1', 'FEM5']",['PPP3'],"['TRA1', 'FEM5']"
