Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,IBUT_module,PROBUT_module,ETH_module,IBUTBUT_module,IPROBUT_module,PRO_module,ETHBUT_module
incumbent,1.04,0.01,9.9047619050716413,"['ANA3', 'FEM2', 'GG12', 'OPM3', 'PPP4r', 'TCA9r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['FEM5'],['PPP4r'],"['TRA1', 'FEM5']",['FEM5'],['TRA1'],['PPP4r'],['FEM5']
p2,,,9.9047619050716413,"['ANA3', 'FEM2', 'GG12', 'OPM3', 'PPP4r', 'TCA9r', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['FEM5'],['PPP4r'],"['TRA1', 'FEM5']",['FEM5'],['TRA1'],['PPP4r'],['FEM5']
