Solution name,Time(s),Gap(%),Objective value,Deletions,IPRO_module,IPROBUT_module,IBUTBUT_module,IBUT_module,ETH_module,PRO_module,ETHBUT_module,PROBUT_module
incumbent,3.04,0.00,107.3250414530435,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3'],['FEM5'],['PPP3']
p2,,,107.3250414530435,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3'],['FEM5'],['PPP3']
