Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,PROBUT_module,IPRO_module,IBUT_module,ETH_module,PRO_module,IBUTBUT_module,IPROBUT_module
incumbent,3.67,0.00,107.32504145302671,"['GG11', 'GG4', 'GLB2', 'OPM4r', 'PPP1', 'TCA5', 'TRA1', 'TRA2', 'TRA4']",['FEM5'],['PPP1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP1'],"['TRA1', 'FEM5']",['TRA1']
p2,,,107.32504145302671,"['GG11', 'GG4', 'GLB2', 'OPM4r', 'PPP1', 'TCA5', 'TRA1', 'TRA2', 'TRA4']",['FEM5'],['PPP1'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP1'],"['TRA1', 'FEM5']",['TRA1']
