Solution name,Time(s),Gap(%),Objective value,Deletions,PROBUT_module,IBUTBUT_module,ETH_module,ETHBUT_module,IBUT_module
incumbent,0.36,0.00,0.50000000019589186,['FEM3'],['FEM3'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,0.50000000019589186,['FEM3'],['FEM3'],['FEM5'],['FEM5'],['FEM5'],['FEM5']
