Solution name,Time(s),Gap(%),Objective value,Deletions,PRO_module,ETH_module,IBUTBUT_module,PROBUT_module,IPRO_module,IBUT_module,ETHBUT_module,IPROBUT_module
incumbent,3.17,0.00,102.14538906497367,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP1'],['TRA1'],"['TRA1', 'FEM5']",['FEM5'],['TRA1']
p2,,,102.14538906497367,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP1'],['TRA1'],"['TRA1', 'FEM5']",['FEM5'],['TRA1']
