Solution name,Time(s),Gap(%),Objective value,Deletions,ETH_module,IBUTBUT_module,ETHBUT_module,IBUT_module
incumbent,0.42,0.00,5.0000000000133582,"['FEM2', 'PPP1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,5.0000000000133582,"['FEM2', 'PPP1', 'TRA2', 'TRA4', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
