Solution name,Time(s),Gap(%),Objective value,Deletions,ETHBUT_module,IBUT_module,ETH_module,IBUTBUT_module
incumbent,2.22,0.00,54.102697448531387,"['ANA3', 'FEM3', 'GG11', 'GG12', 'OPM3', 'OPM4r', 'PPP1', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
p2,,,54.102697448531387,"['ANA3', 'FEM3', 'GG11', 'GG12', 'OPM3', 'OPM4r', 'PPP1', 'TRA2', 'TRA5']",['FEM5'],['FEM5'],['FEM5'],['FEM5']
