Solution name,Time(s),Gap(%),Objective value,Deletions,PROBUT_module,IPRO_module,IBUT_module,PRO_module,ETHBUT_module,ETH_module,IBUTBUT_module,IPROBUT_module
incumbent,0.91,0.00,9.4880952396389215,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP1'],['TRA1'],['FEM5'],['PPP1'],['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
p2,,,9.4880952396389215,"['PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['PPP1'],['TRA1'],['FEM5'],['PPP1'],['FEM5'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['TRA1']
