Solution name,Time(s),Gap(%),Objective value,Deletions,IBUT_module,ETH_module,ETHBUT_module,PROBUT_module,IPRO_module,IPROBUT_module,PRO_module,IBUTBUT_module
incumbent,4.05,0.01,107.32504145302676,"['ANA3', 'GG11', 'GG12', 'GG4', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5'],['PPP1'],['TRA1'],['TRA1'],['PPP1'],"['TRA1', 'FEM5']"
p2,,,107.32504145302676,"['ANA3', 'GG11', 'GG12', 'GG4', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5']","['TRA1', 'FEM5']","['TRA1', 'FEM5']",['FEM5'],['PPP1'],['TRA1'],['TRA1'],['PPP1'],"['TRA1', 'FEM5']"
