Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,ETH_module,PRO_module,IPRO_module,IBUTBUT_module,IBUT_module,PROBUT_module,ETHBUT_module
incumbent,4.03,0.01,107.32504145319922,"['GG11', 'GG12', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']",['PPP3'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3'],['FEM5']
p2,,,107.32504145319922,"['GG11', 'GG12', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5']",['TRA1'],"['TRA1', 'FEM5']",['PPP3'],['TRA1'],"['TRA1', 'FEM5']","['TRA1', 'FEM5']",['PPP3'],['FEM5']
